Strompreis_2050_CO2frei;Erdgaspreis_2050;Oelpreis_2050;Biomassepreis_2050;Wasserstoffpreis_2050;Synthetische_Kraftstoffe_2050
86,89287446;20,34;28,49;25;74;120,22
95,37688911;20,34;28,49;25;74;120,22
110,1314585;20,34;28,49;25;74;120,22
109,8029803;20,34;28,49;25;74;120,22
119,5343632;20,34;28,49;25;74;120,22
109,2877755;20,34;28,49;25;74;120,22
96,20592625;20,34;28,49;25;74;120,22
85,48239939;20,34;28,49;25;74;120,22
88,74392919;20,34;28,49;25;74;120,22
81,6598998;20,34;28,49;25;74;120,22
83,44588574;20,34;28,49;25;74;120,22
100,3475421;20,34;28,49;25;74;120,22
114,4299149;20,34;28,49;25;74;120,22
123,1059744;20,34;28,49;25;74;120,22
129,1070438;20,34;28,49;25;74;120,22
115,7294818;20,34;28,49;25;74;120,22
103,3725684;20,34;28,49;25;74;120,22
94,43450568;20,34;28,49;25;74;120,22
87,1021673;20,34;28,49;25;74;120,22
78,87508854;20,34;28,49;25;74;120,22
69,33975585;20,34;28,49;25;74;120,22
67,72850011;20,34;28,49;25;74;120,22
66,44686913;20,34;28,49;25;74;120,22
68,37040748;20,34;28,49;25;74;120,22
70,56419996;20,34;28,49;25;74;120,22
81,34477081;20,34;28,49;25;74;120,22
96,34746785;20,34;28,49;25;74;120,22
104,9181027;20,34;28,49;25;74;120,22
117,2615432;20,34;28,49;25;74;120,22
116,9834313;20,34;28,49;25;74;120,22
108,3165125;20,34;28,49;25;74;120,22
95,27609532;20,34;28,49;25;74;120,22
94,9867119;20,34;28,49;25;74;120,22
93,09520065;20,34;28,49;25;74;120,22
83,61768461;20,34;28,49;25;74;120,22
101,3649618;20,34;28,49;25;74;120,22
108,3852738;20,34;28,49;25;74;120,22
114,4930772;20,34;28,49;25;74;120,22
125,3317365;20,34;28,49;25;74;120,22
116,4299717;20,34;28,49;25;74;120,22
101,4350246;20,34;28,49;25;74;120,22
93,2645536;20,34;28,49;25;74;120,22
91,80271243;20,34;28,49;25;74;120,22
80,03415644;20,34;28,49;25;74;120,22
70,4833521;20,34;28,49;25;74;120,22
66,7595844;20,34;28,49;25;74;120,22
63,78529135;20,34;28,49;25;74;120,22
62,92262376;20,34;28,49;25;74;120,22
65,53291685;20,34;28,49;25;74;120,22
73,55941196;20,34;28,49;25;74;120,22
84,62054889;20,34;28,49;25;74;120,22
93,82098871;20,34;28,49;25;74;120,22
107,4361537;20,34;28,49;25;74;120,22
113,3683447;20,34;28,49;25;74;120,22
112,6617007;20,34;28,49;25;74;120,22
113,0926317;20,34;28,49;25;74;120,22
111,699292;20,34;28,49;25;74;120,22
105,9244309;20,34;28,49;25;74;120,22
100,0989077;20,34;28,49;25;74;120,22
101,2842024;20,34;28,49;25;74;120,22
104,0218339;20,34;28,49;25;74;120,22
108,0625033;20,34;28,49;25;74;120,22
110,2400506;20,34;28,49;25;74;120,22
104,9821725;20,34;28,49;25;74;120,22
95,88336113;20,34;28,49;25;74;120,22
88,28926977;20,34;28,49;25;74;120,22
82,18583077;20,34;28,49;25;74;120,22
74,14657213;20,34;28,49;25;74;120,22
71,54285971;20,34;28,49;25;74;120,22
71,18341714;20,34;28,49;25;74;120,22
68,38222526;20,34;28,49;25;74;120,22
72,59150917;20,34;28,49;25;74;120,22
79,40810639;20,34;28,49;25;74;120,22
86,59688291;20,34;28,49;25;74;120,22
95,46434641;20,34;28,49;25;74;120,22
106,6736352;20,34;28,49;25;74;120,22
114,7168221;20,34;28,49;25;74;120,22
116,9992906;20,34;28,49;25;74;120,22
111,8828301;20,34;28,49;25;74;120,22
110,4206183;20,34;28,49;25;74;120,22
109,475936;20,34;28,49;25;74;120,22
104,1345651;20,34;28,49;25;74;120,22
96,71858942;20,34;28,49;25;74;120,22
101,312847;20,34;28,49;25;74;120,22
101,7610867;20,34;28,49;25;74;120,22
116,8223992;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
90,87111687;20,34;28,49;25;74;120,22
89,11596874;20,34;28,49;25;74;120,22
79,18698382;20,34;28,49;25;74;120,22
67,17726491;20,34;28,49;25;74;120,22
65,78934284;20,34;28,49;25;74;120,22
73,830193;20,34;28,49;25;74;120,22
77,01807707;20,34;28,49;25;74;120,22
78,29679235;20,34;28,49;25;74;120,22
80,81072297;20,34;28,49;25;74;120,22
92,75973494;20,34;28,49;25;74;120,22
96,6408032;20,34;28,49;25;74;120,22
97,61536909;20,34;28,49;25;74;120,22
98,40686798;20,34;28,49;25;74;120,22
89,81314049;20,34;28,49;25;74;120,22
83,58907489;20,34;28,49;25;74;120,22
83,97801498;20,34;28,49;25;74;120,22
80,67760173;20,34;28,49;25;74;120,22
84,70455266;20,34;28,49;25;74;120,22
94,10175513;20,34;28,49;25;74;120,22
100,2255932;20,34;28,49;25;74;120,22
94,05890715;20,34;28,49;25;74;120,22
86,08859373;20,34;28,49;25;74;120,22
80,89365043;20,34;28,49;25;74;120,22
73,57024786;20,34;28,49;25;74;120,22
75,46542169;20,34;28,49;25;74;120,22
74,36179427;20,34;28,49;25;74;120,22
75,00499781;20,34;28,49;25;74;120,22
73,68188673;20,34;28,49;25;74;120,22
73,50380705;20,34;28,49;25;74;120,22
81,98175371;20,34;28,49;25;74;120,22
92,51023671;20,34;28,49;25;74;120,22
104,0785419;20,34;28,49;25;74;120,22
122,0295827;20,34;28,49;25;74;120,22
129,3231496;20,34;28,49;25;74;120,22
111,348687;20,34;28,49;25;74;120,22
103,3498486;20,34;28,49;25;74;120,22
101,635492;20,34;28,49;25;74;120,22
87,98884043;20,34;28,49;25;74;120,22
94,1260204;20,34;28,49;25;74;120,22
113,3071693;20,34;28,49;25;74;120,22
127,6606696;20,34;28,49;25;74;120,22
126,3047042;20,34;28,49;25;74;120,22
125,1210289;20,34;28,49;25;74;120,22
114,8050743;20,34;28,49;25;74;120,22
104,308203;20,34;28,49;25;74;120,22
102,1994116;20,34;28,49;25;74;120,22
101,7976357;20,34;28,49;25;74;120,22
93,96883477;20,34;28,49;25;74;120,22
81,18331748;20,34;28,49;25;74;120,22
73,80296633;20,34;28,49;25;74;120,22
71,18481605;20,34;28,49;25;74;120,22
67,50590642;20,34;28,49;25;74;120,22
70,33091517;20,34;28,49;25;74;120,22
80,06742361;20,34;28,49;25;74;120,22
90,20272654;20,34;28,49;25;74;120,22
101,2112899;20,34;28,49;25;74;120,22
115,8666893;20,34;28,49;25;74;120,22
108,39317;20,34;28,49;25;74;120,22
101,0833136;20,34;28,49;25;74;120,22
110,6990938;20,34;28,49;25;74;120,22
107,3040363;20,34;28,49;25;74;120,22
96,41123907;20,34;28,49;25;74;120,22
103,2834906;20,34;28,49;25;74;120,22
124,3492674;20,34;28,49;25;74;120,22
132,0249706;20,34;28,49;25;74;120,22
