Strompreis_2030;Erdgaspreis_2030;Oelpreis_2030;Biomassepreis_2030;Wasserstoffpreis_2030;Synthetische_Kraftstoffe_2030;Steinkohlepreis_2030;Braunkohlepreis_2030;Strompreis_2030_brain
63,14282715;20,12;30,09;25;121;206,22;5,392819567;8,798929188;99,84
64,77882657;20,12;30,09;25;121;206,22;5,392819567;8,798929188;105,41
65,99961507;20,12;30,09;25;121;206,22;5,392819567;8,798929188;108,44
69,71645882;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,47
78,02379941;20,12;30,09;25;121;206,22;5,392819567;8,798929188;104,50
84,50067788;20,12;30,09;25;121;206,22;5,392819567;8,798929188;103,95
89,15755713;20,12;30,09;25;121;206,22;5,392819567;8,798929188;103,96
89,34787162;20,12;30,09;25;121;206,22;5,392819567;8,798929188;103,95
70,20518024;20,12;30,09;25;121;206,22;5,392819567;8,798929188;103,95
66,57544833;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,80
70,29880262;20,12;30,09;25;121;206,22;5,392819567;8,798929188;119,63
73,58502254;20,12;30,09;25;121;206,22;5,392819567;8,798929188;192,54
80,08940817;20,12;30,09;25;121;206,22;5,392819567;8,798929188;232,30
88,404408;20,12;30,09;25;121;206,22;5,392819567;8,798929188;185,53
93,40917368;20,12;30,09;25;121;206,22;5,392819567;8,798929188;141,39
88,04456792;20,12;30,09;25;121;206,22;5,392819567;8,798929188;111,77
80,49224229;20,12;30,09;25;121;206,22;5,392819567;8,798929188;108,27
73,96302626;20,12;30,09;25;121;206,22;5,392819567;8,798929188;104,16
67,12986441;20,12;30,09;25;121;206,22;5,392819567;8,798929188;95,31
68,82160743;20,12;30,09;25;121;206,22;5,392819567;8,798929188;91,40
67,6777636;20,12;30,09;25;121;206,22;5,392819567;8,798929188;89,67
64,74647146;20,12;30,09;25;121;206,22;5,392819567;8,798929188;89,89
63,48508366;20,12;30,09;25;121;206,22;5,392819567;8,798929188;90,78
66,07169661;20,12;30,09;25;121;206,22;5,392819567;8,798929188;98,22
75,49006181;20,12;30,09;25;121;206,22;5,392819567;8,798929188;104,51
87,18946798;20,12;30,09;25;121;206,22;5,392819567;8,798929188;114,44
97,62296709;20,12;30,09;25;121;206,22;5,392819567;8,798929188;113,77
112,5845664;20,12;30,09;25;121;206,22;5,392819567;8,798929188;105,54
120,0098322;20,12;30,09;25;121;206,22;5,392819567;8,798929188;99,20
121,7566277;20,12;30,09;25;121;206,22;5,392819567;8,798929188;98,15
122,8162019;20,12;30,09;25;121;206,22;5,392819567;8,798929188;92,26
122,6388954;20,12;30,09;25;121;206,22;5,392819567;8,798929188;93,52
97,46951089;20,12;30,09;25;121;206,22;5,392819567;8,798929188;93,13
95,68065901;20,12;30,09;25;121;206,22;5,392819567;8,798929188;101,73
108,2083788;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,34
119,156564;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,34
124,9120249;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,34
125,7458599;20,12;30,09;25;121;206,22;5,392819567;8,798929188;104,51
117,8902091;20,12;30,09;25;121;206,22;5,392819567;8,798929188;103,30
104,8649233;20,12;30,09;25;121;206,22;5,392819567;8,798929188;98,22
93,06745925;20,12;30,09;25;121;206,22;5,392819567;8,798929188;90,74
85,32646742;20,12;30,09;25;121;206,22;5,392819567;8,798929188;74,16
77,97625727;20,12;30,09;25;121;206,22;5,392819567;8,798929188;66,08
70,09167671;20,12;30,09;25;121;206,22;5,392819567;8,798929188;64,33
67,61247591;20,12;30,09;25;121;206,22;5,392819567;8,798929188;64,33
65,93358964;20,12;30,09;25;121;206,22;5,392819567;8,798929188;64,03
65,02418111;20,12;30,09;25;121;206,22;5,392819567;8,798929188;64,25
67,69550187;20,12;30,09;25;121;206,22;5,392819567;8,798929188;64,25
78,09948855;20,12;30,09;25;121;206,22;5,392819567;8,798929188;64,60
89,3495102;20,12;30,09;25;121;206,22;5,392819567;8,798929188;66,08
99,69702513;20,12;30,09;25;121;206,22;5,392819567;8,798929188;66,08
116,9727944;20,12;30,09;25;121;206,22;5,392819567;8,798929188;64,03
114,3880879;20,12;30,09;25;121;206,22;5,392819567;8,798929188;62,33
107,0286967;20,12;30,09;25;121;206,22;5,392819567;8,798929188;61,86
96,27563718;20,12;30,09;25;121;206,22;5,392819567;8,798929188;61,86
97,70098246;20,12;30,09;25;121;206,22;5,392819567;8,798929188;61,86
104,3235486;20,12;30,09;25;121;206,22;5,392819567;8,798929188;61,98
98,23807436;20,12;30,09;25;121;206,22;5,392819567;8,798929188;62,33
107,1834642;20,12;30,09;25;121;206,22;5,392819567;8,798929188;61,98
118,8497525;20,12;30,09;25;121;206,22;5,392819567;8,798929188;62,72
124,1241008;20,12;30,09;25;121;206,22;5,392819567;8,798929188;62,89
124,9647813;20,12;30,09;25;121;206,22;5,392819567;8,798929188;62,89
116,8709989;20,12;30,09;25;121;206,22;5,392819567;8,798929188;61,65
103,6206508;20,12;30,09;25;121;206,22;5,392819567;8,798929188;61,47
94,47610933;20,12;30,09;25;121;206,22;5,392819567;8,798929188;45,65
87,46561663;20,12;30,09;25;121;206,22;5,392819567;8,798929188;45,65
80,50465184;20,12;30,09;25;121;206,22;5,392819567;8,798929188;45,65
72,28866475;20,12;30,09;25;121;206,22;5,392819567;8,798929188;45,65
69,99757038;20,12;30,09;25;121;206,22;5,392819567;8,798929188;29,78
66,92973709;20,12;30,09;25;121;206,22;5,392819567;8,798929188;19,94
63,71013277;20,12;30,09;25;121;206,22;5,392819567;8,798929188;19,94
65,37528821;20,12;30,09;25;121;206,22;5,392819567;8,798929188;30,65
73,34907467;20,12;30,09;25;121;206,22;5,392819567;8,798929188;20,53
85,33648805;20,12;30,09;25;121;206,22;5,392819567;8,798929188;18,54
94,07539703;20,12;30,09;25;121;206,22;5,392819567;8,798929188;7,58
107,8262268;20,12;30,09;25;121;206,22;5,392819567;8,798929188;0,00
102,2364244;20,12;30,09;25;121;206,22;5,392819567;8,798929188;0,00
93,01268898;20,12;30,09;25;121;206,22;5,392819567;8,798929188;0,00
87,33371636;20,12;30,09;25;121;206,22;5,392819567;8,798929188;0,00
89,70506703;20,12;30,09;25;121;206,22;5,392819567;8,798929188;0,00
83,38351556;20,12;30,09;25;121;206,22;5,392819567;8,798929188;0,00
83,33205101;20,12;30,09;25;121;206,22;5,392819567;8,798929188;0,00
97,41207046;20,12;30,09;25;121;206,22;5,392819567;8,798929188;34,44
109,0758265;20,12;30,09;25;121;206,22;5,392819567;8,798929188;44,37
115,1614304;20,12;30,09;25;121;206,22;5,392819567;8,798929188;45,65
117,0246766;20,12;30,09;25;121;206,22;5,392819567;8,798929188;38,41
108,1660091;20,12;30,09;25;121;206,22;5,392819567;8,798929188;35,85
95,65535775;20,12;30,09;25;121;206,22;5,392819567;8,798929188;34,90
87,06800212;20,12;30,09;25;121;206,22;5,392819567;8,798929188;36,43
79,85807918;20,12;30,09;25;121;206,22;5,392819567;8,798929188;34,90
71,88377046;20,12;30,09;25;121;206,22;5,392819567;8,798929188;38,41
63,30124639;20,12;30,09;25;121;206,22;5,392819567;8,798929188;19,92
61,01497436;20,12;30,09;25;121;206,22;5,392819567;8,798929188;34,87
59,10719441;20,12;30,09;25;121;206,22;5,392819567;8,798929188;34,87
58,84801439;20,12;30,09;25;121;206,22;5,392819567;8,798929188;35,01
60,88224122;20,12;30,09;25;121;206,22;5,392819567;8,798929188;41,76
68,752885;20,12;30,09;25;121;206,22;5,392819567;8,798929188;45,65
80,56768974;20,12;30,09;25;121;206,22;5,392819567;8,798929188;45,65
90,78387105;20,12;30,09;25;121;206,22;5,392819567;8,798929188;45,65
104,9703482;20,12;30,09;25;121;206,22;5,392819567;8,798929188;45,65
106,0062524;20,12;30,09;25;121;206,22;5,392819567;8,798929188;45,65
98,66821444;20,12;30,09;25;121;206,22;5,392819567;8,798929188;52,23
93,64952293;20,12;30,09;25;121;206,22;5,392819567;8,798929188;61,16
95,06592336;20,12;30,09;25;121;206,22;5,392819567;8,798929188;62,71
92,58577712;20,12;30,09;25;121;206,22;5,392819567;8,798929188;63,58
84,3851146;20,12;30,09;25;121;206,22;5,392819567;8,798929188;64,45
99,45307458;20,12;30,09;25;121;206,22;5,392819567;8,798929188;68,56
106,1319605;20,12;30,09;25;121;206,22;5,392819567;8,798929188;74,69
111,3148156;20,12;30,09;25;121;206,22;5,392819567;8,798929188;77,39
114,1190095;20,12;30,09;25;121;206,22;5,392819567;8,798929188;79,31
106,3916664;20,12;30,09;25;121;206,22;5,392819567;8,798929188;77,24
93,60576693;20,12;30,09;25;121;206,22;5,392819567;8,798929188;76,88
85,2852055;20,12;30,09;25;121;206,22;5,392819567;8,798929188;79,31
79,22809008;20,12;30,09;25;121;206,22;5,392819567;8,798929188;79,31
70,84109554;20,12;30,09;25;121;206,22;5,392819567;8,798929188;74,81
62,75674004;20,12;30,09;25;121;206,22;5,392819567;8,798929188;72,91
59,90041795;20,12;30,09;25;121;206,22;5,392819567;8,798929188;74,15
57,73527886;20,12;30,09;25;121;206,22;5,392819567;8,798929188;72,91
56,94810132;20,12;30,09;25;121;206,22;5,392819567;8,798929188;76,61
58,97591868;20,12;30,09;25;121;206,22;5,392819567;8,798929188;81,17
66,22482931;20,12;30,09;25;121;206,22;5,392819567;8,798929188;81,17
77,54237246;20,12;30,09;25;121;206,22;5,392819567;8,798929188;104,56
87,52056616;20,12;30,09;25;121;206,22;5,392819567;8,798929188;108,23
101,6522213;20,12;30,09;25;121;206,22;5,392819567;8,798929188;107,09
107,4664791;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,58
107,2599068;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,16
109,2028179;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,42
108,5637364;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,87
103,2341379;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,87
97,67150292;20,12;30,09;25;121;206,22;5,392819567;8,798929188;110,13
100,1831438;20,12;30,09;25;121;206,22;5,392819567;8,798929188;113,83
103,9384448;20,12;30,09;25;121;206,22;5,392819567;8,798929188;135,05
108,4372706;20,12;30,09;25;121;206,22;5,392819567;8,798929188;134,82
109,7772864;20,12;30,09;25;121;206,22;5,392819567;8,798929188;115,48
102,930723;20,12;30,09;25;121;206,22;5,392819567;8,798929188;111,32
91,40462625;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,81
83,41878683;20,12;30,09;25;121;206,22;5,392819567;8,798929188;105,01
76,54058514;20,12;30,09;25;121;206,22;5,392819567;8,798929188;98,04
70,109101;20,12;30,09;25;121;206,22;5,392819567;8,798929188;95,29
65,47521254;20,12;30,09;25;121;206,22;5,392819567;8,798929188;88,92
64,16321014;20,12;30,09;25;121;206,22;5,392819567;8,798929188;98,03
60,23952069;20,12;30,09;25;121;206,22;5,392819567;8,798929188;95,28
59,89944331;20,12;30,09;25;121;206,22;5,392819567;8,798929188;88,92
61,28270637;20,12;30,09;25;121;206,22;5,392819567;8,798929188;95,28
66,1196972;20,12;30,09;25;121;206,22;5,392819567;8,798929188;87,41
71,26238527;20,12;30,09;25;121;206,22;5,392819567;8,798929188;107,05
80,58281005;20,12;30,09;25;121;206,22;5,392819567;8,798929188;110,13
95,63856032;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,17
103,3881937;20,12;30,09;25;121;206,22;5,392819567;8,798929188;96,90
104,958063;20,12;30,09;25;121;206,22;5,392819567;8,798929188;93,54
106,0266416;20,12;30,09;25;121;206,22;5,392819567;8,798929188;95,28
105,7478793;20,12;30,09;25;121;206,22;5,392819567;8,798929188;95,28
100,6273491;20,12;30,09;25;121;206,22;5,392819567;8,798929188;96,46
90,28421399;20,12;30,09;25;121;206,22;5,392819567;8,798929188;106,17
85,41107271;20,12;30,09;25;121;206,22;5,392819567;8,798929188;111,22
84,96446054;20,12;30,09;25;121;206,22;5,392819567;8,798929188;124,04
