"1100,9298217058408"
"1107,5071737822627"
"1131,843643101422"
"1155,5979049732857"
"1212,3788467878167"
"1420,5355325919804"
"1844,3623822469574"
"2068,980373609635"
"2172,1994390812824"
"2188,2568213390173"
"2146,6436089678805"
"2088,0035453827686"
"2022,4032908176557"
"1975,9971269948437"
"1937,3104326409175"
"1926,8750227708601"
"1894,2719820400657"
"1904,2673506963154"
"1881,68935705693"
"1840,131978636046"
"1747,3439756858988"
"1651,8252454987778"
"1529,336364528826"
"1371,6434072795205"
"1199,9462232880062"
"1122,714214162077"
"1147,8482965786166"
"1172,066561411421"
"1229,6595297156098"
"1440,4889886566334"
"1870,9360466220714"
"2099,457200272719"
"2205,543185518945"
"2221,958816920491"
"2179,10242086602"
"2119,0288549293796"
"2052,0042298788862"
"2004,3733567566178"
"1964,6574689762144"
"1954,0302255376432"
"1921,5306660458255"
"1931,9620740338682"
"1909,6831618277847"
"1867,9847858248213"
"1773,3265684419966"
"1675,6143029213204"
"1551,1895368368214"
"1391,4029684562197"
"1216,6859763740676"
"1086,0060240437365"
"1109,1800448914853"
"1132,307528219121"
"1187,8686628142718"
"1392,0561147427488"
"1805,9845609524436"
"2025,579992540791"
"2125,223509272969"
"2140,8813594179796"
"2100,9448238189048"
"2044,2601081553717"
"1980,619830685921"
"1935,8280611955456"
"1898,4763956636043"
"1888,277532126756"
"1855,4963555507788"
"1864,7810535610888"
"1841,6872107878098"
"1800,2229819061013"
"1709,8473857737818"
"1617,2476531902155"
"1497,5873351703972"
"1343,0878818746119"
"1176,1104130893418"
"1362,7746850342623"
"1371,0238687376113"
"1390,384771265391"
"1462,1418677951408"
"1673,4739469229858"
"2190,6840580002026"
"2465,399546346448"
"2566,4945560111873"
"2604,889385442202"
"2579,352172983623"
"2507,0829763775896"
"2454,958899861197"
"2391,3078065982036"
"2304,739041265175"
"2306,216059325731"
"2248,0575316032873"
"2229,0558162110415"
"2211,093782722228"
"2141,739551598439"
"2028,4995435579244"
"1902,8161995032729"
"1773,9237697137723"
"1628,2537970378453"
"1422,173728272354"
"1367,7511434738144"
"1376,0806418448476"
"1395,4725592622062"
"1467,3904534664468"
"1678,8882539604379"
"2197,3441998344906"
"2474,466392776413"
"2577,4072930849075"
"2615,9517472503503"
"2590,2383980116138"
"2517,4697228718833"
"2465,140746107679"
"2400,798088233791"
"2313,4036410002286"
"2315,0050763017907"
"2256,4695725429765"
"2236,932671540038"
"2218,8949945665127"
"2149,026029972921"
"2034,777785664186"
"1908,0617763783866"
"1778,9302331599524"
"1633,2640899713851"
"1427,2601275473012"
"1185,8810240768926"
"1208,401932081093"
"1231,1763815738468"
"1259,850861407186"
"1410,7440339054733"
"1739,8733996300357"
"1945,4054365502557"
"2018,7037430638793"
"2014,9537908193138"
"1963,3122888718776"
"1956,1642664158978"
"1900,7910195372322"
"1828,7182158628857"
"1779,4239181450125"
"1711,4491286985126"
"1597,7310255501882"
"1641,2547000894333"
"1609,3195484656858"
"1541,5696191066377"
"1520,780865293733"
"1507,1117988230694"
"1426,1170055739508"
"1275,255972019336"
"1104,6845253709384"
"1340,2882654236857"
"1355,160520120488"
"1393,1714581450733"
"1462,9589984844938"
"1530,5635995088032"
"2093,3467406135055"
"1949,759420427827"
"1978,298902714927"
"1917,5600545107077"
"1868,2298331933898"
"1791,9412433399423"
"1791,5695446732452"
"1718,9103047248295"
"1692,7009230314306"
"1665,35443557591"
"1732,4356535161278"
"1748,1465096634224"
"1842,08585549514"
"1869,1845873561401"
"1852,665685394904"
"1869,158283706363"
"1891,3920045202576"
"1720,5581171279123"
"1622,3933522820494"
"1654,2485387704182"
"1636,976749310455"
"1656,6052863021575"
"1717,4920142797253"
"1938,080654537489"
"2595,390038788587"
"2823,074771919999"
"2813,3308960965514"
"2870,6609083518483"
"2841,1532973625526"
"2767,0792433633937"
"2771,7225008916066"
"2688,565666576428"
"2575,9019190871513"
"2555,5289698097376"
"2529,651541416597"
"2467,964370490122"
"2480,7355350408325"
"2418,3235955940804"
"2344,531406846543"
"2216,3387049340226"
"2136,2104813042642"
"2006,4080044255923"
"1720,3937099557374"
"1661,4516324890953"
"1644,1652192888432"
"1663,9030237594511"
"1725,0567239246616"
"1946,4307734523481"
"2606,875734726512"
"2835,5281573752713"
"2825,817147564615"
"2883,497981493242"
"2853,814549245805"
"2779,361730493262"
"2784,0467761595382"
"2700,378196166305"
"2586,974825675218"
"2566,506580307143"
"2540,6772734700335"
"2478,6319795781983"
"2491,71001071538"
"2429,195768403508"
"2355,076113897499"
"2226,146482257345"
"2145,7853101257147"
"2015,4485943541845"
"1727,8781892543348"
"1618,8460873774623"
"1601,6658698465903"
"1620,7974533914326"
"1680,3520137049618"
"1896,9798362842416"
"2538,472189112924"
"2761,736418140869"
"2752,1854936749983"
"2807,88442608278"
"2779,2760158423894"
"2707,1085997807677"
"2711,4859998747265"
"2630,781319745093"
"2521,6049796208945"
"2501,7049548225586"
"2475,550012193962"
"2415,497245433212"
"2426,7110368105095"
"2364,7772612082917"
"2292,4720821577466"
"2167,790480203409"
"2088,885472887936"
"1961,6629553744906"
"1683,5353885677644"
"1370,566619650908"
"1378,9871427729927"
"1398,4454034697924"
"1470,6324792747118"
"1682,9371512142493"
"2203,453357890317"
"2480,1305692814312"
"2582,357243273322"
"2620,9831904803063"
"2595,1927668743165"
"2522,2949821543807"
"2469,81591764727"
"2405,5411179531407"
"2318,1494901722035"
"2319,7139348489072"
"2261,302048796159"
"2242,103660465088"
"2224,2944711584732"
"2154,609155136865"
"2040,4944389308403"
"1913,7487823211018"
