;Electricity_2045;CO2_2045;Oil_2045;Gas_2045;Biomass_2045;Hydrogen_2045;Synthetic_fuel_2045;Hard_coal_2045;Brown_coal_2045
287;78,3339;0,1516;26,2572;12,4368;35,6;100;190;10000000;10000000
288;78,3366;0,1516;26,2572;12,4368;35,6;100;190;10000000;10000000
289;78,7302;0,1516;26,2572;12,4368;35,6;100;190;10000000;10000000
290;78,5831;0,1516;26,2572;12,4368;35,6;100;190;10000000;10000000
291;80,6087;0,1516;26,2572;12,4368;35,6;100;190;10000000;10000000
292;81,7114;0,1516;26,2571;12,4368;35,6;100;190;10000000;10000000
293;82,3151;0,1516;26,2571;12,4368;35,6;100;190;10000000;10000000
294;83,9154;0,1516;26,2571;12,4368;35,6;100;190;10000000;10000000
295;85,4581;0,1516;26,2571;12,4368;35,6;100;190;10000000;10000000
296;86,2437;0,1516;26,2571;12,4368;35,6;100;190;10000000;10000000
297;86,8008;0,1516;26,2571;12,4368;35,6;100;190;10000000;10000000
298;88,9387;0,1516;26,257;12,4368;35,6;100;190;10000000;10000000
299;96,1052;0,1516;26,257;12,4369;35,6;100;190;10000000;10000000
300;93,6253;0,1516;26,257;12,4369;35,6;100;190;10000000;10000000
301;98,1745;0,1516;26,257;12,4369;35,6;100;190;10000000;10000000
302;108,1345;0,1516;26,257;12,4369;35,6;100;190;10000000;10000000
303;129,1765;0,1516;26,257;12,4369;35,6;100;190;10000000;10000000
304;137,6617;0,1516;26,2569;12,4369;35,6;100;190;10000000;10000000
305;134,3128;0,1516;26,2569;12,4369;35,6;100;190;10000000;10000000
306;138,4957;0,1516;26,2569;12,4369;35,6;100;190;10000000;10000000
307;134,8234;0,1516;26,2569;12,4369;35,6;100;190;10000000;10000000
308;130,9244;0,1516;26,2569;12,4369;35,6;100;190;10000000;10000000
309;130,5609;0,1516;26,2569;12,4369;35,6;100;190;10000000;10000000
310;130,5609;0,1516;26,2568;12,4369;35,6;100;190;10000000;10000000
311;130,5609;0,1516;26,2568;12,4369;35,6;100;190;10000000;10000000
312;130,5654;0,1516;26,2568;12,4369;35,6;100;190;10000000;10000000
