;PV_rooftop_middle;PV_rooftop_north;PV_rooftop_swest;PV_rooftop_east;PV_openfield_middle;PV_openfield_north;PV_openfield_swest;PV_openfield_east;Solarthermal;Wind_east;Wind_swest;Wind_north;Wind_middle;Hydro_power
3870;0,065647638;0,135437337;0,140214359;0,158827145;0,0651635;0,13623275;0,1419095;0,16149125;0;0,000131148;0;0;0,000213123;0,71
3871;0,097596308;0,254974382;0,311930724;0,314239895;0,097515;0,26128;0,3247525;0,3273425;7,22E-05;0,000986883;0;9,95E-05;0,002224053;0,71
3872;0,157045303;0,381355145;0,493086276;0,473642527;0,157765;0,39644;0,5232375;0,50183;0,000133717;0,0282485;0,005513623;0,0089715;0,0307215;0,71
3873;0,205268211;0,489457579;0,617112118;0,599551342;0,20735;0,5153125;0,666205;0,64525;0,000259163;0,03851175;0,008601025;0,012131;0,034705;0,71
3874;0,299855132;0,544184211;0,688092039;0,663069198;0,305115;0,578955;0,7521225;0,7236875;0,000137658;0,0140785;0,000311475;0,002469958;0,005442603;0,71
3875;0,309402434;0,584114329;0,426541697;0,717126435;0,3162325;0,6271675;0,45927;0,79094;0,000202917;0,01970675;0,002841485;0,005390205;0,003956355;0,71
3876;0,416991987;0,557865869;0,461290026;0,7196475;0,4294775;0,600585;0,4824525;0,798215;0,000123201;0,1185945;0,107251;0,098418;0,05644825;0,71
3877;0,294143605;0,546654711;0,438619697;0,665886434;0,302605;0,5870575;0,4580075;0,7372825;3,00E-05;0,15705;0,15705;0,15705;0,08459;0,71
3878;0,269005184;0,492989961;0,393912316;0,603430461;0,2745125;0,52679;0,4095625;0,6621325;8,93E-05;0,143765;0,11503925;0,1318255;0,0561955;0,71
3879;0,184386948;0,396252789;0,327519434;0,495768671;0,1871825;0,41896;0,3383725;0,5375325;8,43E-05;0,04859575;0,014316928;0,02547225;0,01146025;0,71
3880;0,146877004;0,288492276;0,239188705;0,367023356;0,148242;0,3011;0,2444245;0,3924375;1,90E-05;0,012131;0,000213123;0,001243708;0,00098361;0,71
