;PV_openfield_north;PV_openfield_east;PV_openfield_middle;PV_openfield_swest;PV_rooftop_north;PV_rooftop_east;PV_rooftop_middle;PV_rooftop_swest;Wind_north;Wind_east;Wind_middle;Wind_swest;PV_openfield_north_scaled;PV_openfield_east_scaled;PV_openfield_middle_scaled;PV_openfield_swest_scaled;PV_rooftop_north_scaled;PV_rooftop_east_scaled;PV_rooftop_middle_scaled;PV_rooftop_swest_scaled;Wind_north_scaled;Wind_east_scaled;Wind_middle_scaled;Wind_swest_scaled;Solarthermal;Hydro_power
1626;0;0;0;0;0;0;0;0;0,53322125;0,55316125;0,551649821;0,490481071;0;0;0;0;0;0;0;0;0,506670986;0,527092803;0,534415785;0,503080289;0;0,92
1627;0;0;0;0;0;0;0;0;0,584573036;0,591263571;0,587592857;0,515292857;0;0;0;0;0;0;0;0;0,555465853;0,563399503;0,569235928;0,528529427;0;0,92
1628;0;0;0;0;0;0;0;0;0,590862143;0,57981625;0,583786071;0,500063214;0;0;0;0;0;0;0;0;0,561441812;0,552491651;0,565548069;0,512908573;0;0,92
1629;0;0;0;0;0;0;0;0;0,579094464;0,61795875;0,574244643;0,539003929;0;0;0;0;0;0;0;0;0,550260072;0,588836636;0,556304724;0,552849576;0;0,92
1630;0;0;0;0;0;0;0;0;0,561088571;0,588107143;0,572467143;0,541384643;0;0;0;0;0;0;0;0;0,533150732;0,560391825;0,554582754;0,555291445;0;0,92
1631;0;0;0;0;0;0;0;0;0,564395893;0,60044;0,5815675;0,517410179;0;0;0;0;0;0;0;0;0,536293375;0,57214348;0,563398808;0,530701137;0;0,92
1632;0;0;0;0;0;0;0;0;0,58105125;0,542625714;0,560025357;0,487680357;0;0;0;0;0;0;0;0;0,552119425;0,517053768;0,542529661;0,500207632;0;0,92
1633;0;0;0;0;0;0;0;0;0,542373929;0,558238393;0,565483036;0,440543214;0;0;0;0;0;0;0;0;0,515367933;0,531930679;0,547816837;0,451859655;0;0,92
1634;0;0;0;0;0;0;0;0;0,517417679;0,553161071;0,543218393;0,399992321;0;0;0;0;0;0;0;0;0,491654309;0,527092633;0,526247762;0,410267112;0;0,92
1635;0;0;0;0;0;0;0;0;0,494276429;0,546195714;0,536082857;0,355535357;0;0;0;0;0;0;0;0;0,469665313;0,520455527;0,519335146;0,364668161;0;0,92
1636;0;0;0;0;0;0;0;0;0,447938214;0,517416429;0,476839464;0,337761071;0;0;0;0;0;0;0;0;0,425634381;0,493032503;0,46194257;0,346437299;0;0,92
