;('Biogas_feedin_existing_n', 'Gas_n');('Biogas_feedin_new_n', 'Gas_n');('Gas_n', 'Gas_demand_total_n');('Gas_n', 'Gas_storage_n');('Gas_n', 'GuD_n');('Gas_n', 'Material_demand_Gas_n');('Gas_n', 'excess_b_gas_n');('Gas_storage_n', 'Gas_n');('Hydrogen_feedin_n', 'Gas_n');('Import_Gas_n', 'Gas_n');('Methanisation_n', 'Gas_n')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-08 22:00:00;231,28;0,0;210,49;0,0;120,95;0,22;0,0;0,0;0,0;100,38;0,0
2030-01-08 23:00:00;231,28;0,0;215,46;0,0;120,95;0,22;0,0;0,0;0,0;105,36;0,0
2030-01-09 00:00:00;231,28;0,0;226,51;0,0;120,95;0,22;0,0;0,0;0,0;116,4;0,0
2030-01-09 01:00:00;231,28;0,0;229,11;0,0;120,95;0,22;0,0;0,0;0,0;119,0;0,0
2030-01-09 02:00:00;231,28;0,0;232,98;0,0;120,95;0,22;0,0;0,0;0,0;122,87;0,0
2030-01-09 03:00:00;231,28;0,0;243,81;0,0;120,95;0,22;0,0;0,0;0,0;133,71;0,0
2030-01-09 04:00:00;231,28;0,0;248,68;0,0;120,95;0,22;0,0;0,0;0,0;138,57;0,0
2030-01-09 05:00:00;231,28;0,0;260,61;0,0;120,95;0,22;0,0;0,0;0,0;150,5;0,0
2030-01-09 06:00:00;231,28;0,0;258,51;0,0;120,95;0,22;0,0;0,0;0,0;148,41;0,0
2030-01-09 07:00:00;231,28;0,0;269,86;0,0;120,95;0,22;0,0;0,0;0,0;159,75;0,0
2030-01-09 08:00:00;231,28;0,0;267,05;0,0;120,95;0,22;0,0;0,0;0,0;156,94;0,0
2030-01-09 09:00:00;231,28;0,0;269,59;0,0;120,95;0,22;0,0;0,0;0,0;159,49;0,0
2030-01-09 10:00:00;231,28;0,0;267,45;0,0;120,95;0,22;0,0;0,0;0,0;157,34;0,0
