;('Battery_e', 'Electricity_e');('Biogas_e', 'Electricity_e');('Biomasse_elec_e', 'Electricity_e');('East<->Middel', 'Electricity_e');('Electricity_e', 'Battery_e');('Electricity_e', 'East<->Middel');('Electricity_e', 'Electric boiler_e');('Electricity_e', 'Electricity_demand_total_e');('Electricity_e', 'Electrolysis_e');('Electricity_e', 'Export_Electricity_e');('Electricity_e', 'HS<->East');('Electricity_e', 'Heatpump_air_e');('Electricity_e', 'Heatpump_water_e');('Electricity_e', 'Pumped_hydro_storage_e');('Electricity_e', 'excess_b_el_e');('Fuelcell_e', 'Electricity_e');('GuD_e', 'Electricity_e');('HS<->East', 'Electricity_e');('Hydro power plant_e', 'Electricity_e');('PV_open_e', 'Electricity_e');('PV_rooftop_e', 'Electricity_e');('Pumped_hydro_storage_e', 'Electricity_e');('Wind_e', 'Electricity_e')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-03 21:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;615,15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;19,89;0,0;0,0;0,0;0,0;496,32
2030-01-03 22:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;567,81;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;7,64;0,0;0,0;0,0;0,0;461,22
2030-01-03 23:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;526,28;0,0;0,0;0,0;0,0;0,0;81,68;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;509,01
2030-01-04 00:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;425,89;0,0;0,0;0,0;0,0;0,0;288,0;0,0;0,0;98,95;164,06;0,0;0,0;0,0;0,0;450,88
2030-01-04 01:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;425,67;0,0;0,0;0,0;0,0;0,0;288,0;0,0;0,0;98,95;135,53;0,0;0,0;0,0;0,0;479,18
2030-01-04 02:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;423,97;27,54;0,0;0,0;0,0;0,0;288,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;799,86
2030-01-04 03:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;425,11;214,22;0,0;244,14;0,0;0,0;288,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;1231,82
2030-01-04 04:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;453,02;214,22;705,76;0,0;0,0;0,0;288,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;1721,36
2030-01-04 05:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;512,8;197,79;0,0;0,0;0,0;0,0;288,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;1058,94
2030-01-04 06:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;605,19;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;97,42;0,0;0,0;0,0;0,0;408,82
2030-01-04 07:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;735,55;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;395,63;0,0;0,0;0,0;0,0;240,97
2030-01-04 08:00:00;159,31;0,0;0,0;0,0;0,0;0,0;0,0;821,44;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;64,63;0,0;0,0;0,0;288,0;210,55
2030-01-04 09:00:00;127,45;0,0;0,0;0,0;0,0;0,0;0,0;817,33;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;168,12;0,0;7,86;0,0;288,0;126,96
2030-01-04 10:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;797,05;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;544,35;0,0;15,79;0,0;0,0;137,96
2030-01-04 11:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;798,75;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;547,49;0,0;21,15;0,0;0,0;131,15
2030-01-04 12:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;775,31;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;421,57;0,0;20,25;0,0;0,0;234,53
2030-01-04 13:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;736,11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;659,26;0,0;17,97;0,0;0,0;119,25
2030-01-04 14:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;727,95;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;715,15;0,0;15,04;0,0;0,0;58,12
2030-01-04 15:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;746,15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;590,12;0,0;4,55;0,0;0,0;52,53
2030-01-04 16:00:00;159,31;0,0;0,0;0,0;0,0;0,0;0,0;757,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;142,23;0,0;0,01;0,0;288,0;69,4
2030-01-04 17:00:00;159,31;0,0;0,0;0,0;0,0;0,0;0,0;730,92;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;65,15;0,0;0,0;0,0;288,0;119,51
2030-01-04 18:00:00;159,31;0,0;0,0;0,0;0,0;0,0;0,0;709,42;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;8,94;0,0;0,0;0,0;288,0;154,22
2030-01-04 19:00:00;95,59;0,0;0,0;0,0;0,0;0,0;0,0;706,27;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;29,35;0,0;0,0;0,0;288,0;194,38
2030-01-04 20:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;691,16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;487,64;0,0;0,0;0,0;0,0;104,57
2030-01-04 21:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;620,63;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;349,04;0,0;0,0;0,0;0,0;172,64
2030-01-04 22:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;574,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;323,28;0,0;0,0;0,0;0,0;152,66
2030-01-04 23:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;538,22;0,0;0,0;0,0;0,0;0,0;103,45;0,0;0,0;98,95;349,04;0,0;0,0;0,0;0,0;193,68
2030-01-05 00:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;476,56;0,0;0,0;0,0;0,0;0,0;288,0;0,0;0,0;98,95;13,25;0,0;0,0;0,0;0,0;652,36
2030-01-05 01:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;439,76;214,22;0,0;33,8;0,0;0,0;288,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;1036,13
2030-01-05 02:00:00;0,0;0,0;0,0;0,0;76,61;0,0;0,0;437,49;0,0;0,0;0,0;0,0;0,0;288,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;703,15
2030-01-05 03:00:00;68,95;0,0;0,0;0,0;0,0;0,0;0,0;440,77;0,0;0,0;0,0;0,0;0,0;288,0;0,0;0,0;98,95;77,27;0,0;0,0;0,0;0,0;483,61
2030-01-05 04:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;469,48;214,22;0,0;72,65;0,0;0,0;288,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;1104,7
2030-01-05 05:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;526,85;52,68;0,0;0,0;0,0;0,0;288,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;927,89
2030-01-05 06:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;598,16;197,75;0,0;0,0;0,0;0,0;288,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;1144,28
2030-01-05 07:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;665,1;0,0;0,0;0,0;0,0;0,0;40,55;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;606,7
2030-01-05 08:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;778,21;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;250,8;428,46
2030-01-05 09:00:00;95,59;0,0;0,0;0,0;0,0;0,0;0,0;856,42;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;113,87;0,0;0,58;0,0;288,0;259,44
2030-01-05 10:00:00;159,31;0,0;0,0;0,0;0,0;0,0;0,0;876,91;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;187,22;0,0;1,68;0,0;288,0;141,74
2030-01-05 11:00:00;159,31;0,0;0,0;0,0;0,0;0,0;0,0;874,15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;196,83;0,0;2,17;0,0;288,0;128,89
2030-01-05 12:00:00;159,31;0,0;0,0;0,0;0,0;0,0;0,0;821,84;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;148,18;0,0;2,6;0,0;288,0;124,81
