;('Biogas_e', 'District heating_e');('Biomasse_heat_e', 'District heating_e');('District heating_e', 'Heat storage_e');('District heating_e', 'Heat_demand_total_e');('District heating_e', 'excess_b_distheat_e');('Electric boiler_e', 'District heating_e');('GuD_e', 'District heating_e');('Heat storage_e', 'District heating_e');('Heatpump_air_e', 'District heating_e');('Heatpump_water_e', 'District heating_e');('ST_e', 'District heating_e')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-07 09:00:00;0,0;0,0;0,0;125,43;0,0;0,0;94,55;30,88;0,0;0,0;0,0
2030-01-07 10:00:00;0,0;0,0;0,0;119,89;0,0;0,0;94,55;25,33;0,0;0,0;0,0
2030-01-07 11:00:00;0,0;0,0;0,0;112,69;0,0;0,0;94,55;18,13;0,0;0,0;0,0
2030-01-07 12:00:00;0,0;0,0;0,0;105,16;0,0;0,0;94,55;10,61;0,0;0,0;0,0
2030-01-07 13:00:00;0,0;0,0;0,0;101,56;0,0;0,0;94,55;7,01;0,0;0,0;0,0
2030-01-07 14:00:00;0,0;0,0;0,0;101,58;0,0;0,0;94,55;7,03;0,0;0,0;0,0
2030-01-07 15:00:00;0,0;0,0;0,0;102,14;0,0;0,0;94,55;7,58;0,0;0,0;0,0
2030-01-07 16:00:00;0,0;0,0;0,0;102,6;0,0;0,0;94,55;8,05;0,0;0,0;0,0
2030-01-07 17:00:00;0,0;0,0;0,0;103,6;0,0;0,0;94,55;9,05;0,0;0,0;0,0
2030-01-07 18:00:00;0,0;0,0;0,0;105,82;0,0;0,0;94,55;11,27;0,0;0,0;0,0
2030-01-07 19:00:00;0,0;0,0;0,0;107,84;0,0;0,0;94,55;13,29;0,0;0,0;0,0
2030-01-07 20:00:00;0,0;0,0;0,0;110,41;0,0;0,0;94,55;15,86;0,0;0,0;0,0
2030-01-07 21:00:00;0,0;0,0;0,0;112,72;0,0;0,0;94,55;18,17;0,0;0,0;0,0
2030-01-07 22:00:00;0,0;0,0;0,0;115,11;0,0;0,0;94,55;20,55;0,0;0,0;0,0
2030-01-07 23:00:00;0,0;0,0;0,0;117,96;0,0;0,0;94,55;23,41;0,0;0,0;0,0
2030-01-08 00:00:00;0,0;0,0;0,0;120,5;0,0;0,0;94,55;25,95;0,0;0,0;0,0
2030-01-08 01:00:00;0,0;0,0;0,0;123,49;0,0;0,0;94,55;28,94;0,0;0,0;0,0
2030-01-08 02:00:00;0,0;0,0;0,0;125,72;0,0;0,0;94,55;31,17;0,0;0,0;0,0
2030-01-08 03:00:00;0,0;0,0;0,0;127,5;0,0;0,0;94,55;32,95;0,0;0,0;0,0
2030-01-08 04:00:00;0,0;0,0;0,0;129,61;0,0;0,0;94,55;35,06;0,0;0,0;0,0
2030-01-08 05:00:00;0,0;0,0;0,0;131,29;0,0;0,0;94,55;36,74;0,0;0,0;0,0
2030-01-08 06:00:00;0,0;0,0;0,0;132,91;0,0;0,0;94,55;38,35;0,0;0,0;0,0
2030-01-08 07:00:00;0,0;0,0;0,0;134,73;0,0;0,0;94,55;40,18;0,0;0,0;0,0
2030-01-08 08:00:00;0,0;0,0;0,0;136,8;0,0;0,0;94,55;42,25;0,0;0,0;0,0
2030-01-08 09:00:00;0,0;0,0;0,0;139,82;0,0;0,0;94,55;45,27;0,0;0,0;0,0
2030-01-08 10:00:00;0,0;0,0;0,0;140,23;0,0;0,0;94,55;45,68;0,0;0,0;0,0
2030-01-08 11:00:00;0,0;0,0;0,0;137,73;0,0;0,0;94,55;43,18;0,0;0,0;0,0
