;('Biogas_s', 'District heating_s');('Biomasse_heat_s', 'District heating_s');('District heating_s', 'Heat storage_s');('District heating_s', 'Heat_demand_total_s');('District heating_s', 'excess_b_distheat_s');('Electric boiler_s', 'District heating_s');('GuD_s', 'District heating_s');('Heat storage_s', 'District heating_s');('Heatpump_air_s', 'District heating_s');('Heatpump_water_s', 'District heating_s');('ST_s', 'District heating_s')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-07 18:00:00;0,0;0,0;4,1;60,1;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 19:00:00;0,0;0,0;3,59;60,62;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 20:00:00;0,0;0,0;2,78;61,42;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 21:00:00;0,0;0,0;2,15;62,05;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 22:00:00;0,0;0,0;1,25;62,95;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-07 23:00:00;0,0;0,0;0,53;63,67;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-08 00:00:00;0,0;0,0;0,0;64,39;0,0;0,0;64,2;0,19;0,0;0,0;0,0
2030-01-08 01:00:00;0,0;0,0;0,0;64,88;0,0;0,0;64,2;0,68;0,0;0,0;0,0
2030-01-08 02:00:00;0,0;0,0;0,0;65,36;0,0;0,0;64,2;1,16;0,0;0,0;0,0
2030-01-08 03:00:00;0,0;0,0;0,0;65,81;0,0;0,0;64,2;1,61;0,0;0,0;0,0
2030-01-08 04:00:00;0,0;0,0;0,0;66,02;0,0;0,0;64,2;1,82;0,0;0,0;0,0
2030-01-08 05:00:00;0,0;0,0;0,0;66,42;0,0;0,0;64,2;2,22;0,0;0,0;0,0
2030-01-08 06:00:00;0,0;0,0;0,0;66,59;0,0;0,0;64,2;2,38;0,0;0,0;0,0
2030-01-08 07:00:00;0,0;0,0;0,0;67,35;0,0;0,0;64,2;3,15;0,0;0,0;0,0
2030-01-08 08:00:00;0,0;0,0;0,0;68,07;0,0;0,0;64,2;3,87;0,0;0,0;0,0
2030-01-08 09:00:00;0,0;0,0;0,0;68,42;0,0;0,0;64,2;4,22;0,0;0,0;0,0
2030-01-08 10:00:00;0,0;0,0;0,0;67,62;0,0;0,0;64,2;3,42;0,0;0,0;0,0
2030-01-08 11:00:00;0,0;0,0;0,0;64,86;0,0;0,0;64,2;0,66;0,0;0,0;0,0
2030-01-08 12:00:00;0,0;0,0;1,39;62,81;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-08 13:00:00;0,0;0,0;5,47;58,73;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-08 14:00:00;0,0;0,0;7,85;56,36;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-08 15:00:00;0,0;0,0;9,17;55,03;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-08 16:00:00;0,0;0,0;9,61;54,59;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-08 17:00:00;0,0;0,0;9,8;54,4;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-08 18:00:00;0,0;0,0;9,77;54,43;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-08 19:00:00;0,0;0,0;9,67;54,53;0,0;0,0;64,2;0,0;0,0;0,0;0,0
