;('Import_Oil_n', 'Oil_fuel_n');('Import_Synthetic_fuel_n', 'Oil_fuel_n');('Oil_fuel_n', 'Material_demand_Oil_n');('Oil_fuel_n', 'Mobility_demand_total_n');('Oil_fuel_n', 'Oil_demand_total_n');('Oil_fuel_n', 'excess_b_oil_fuel_n');('PtL_n', 'Oil_fuel_n')
;flow;flow;flow;flow;flow;flow;flow
2030-01-07 10:00:00;326,67;0,0;15,8;265,84;45,03;0,0;0,0
2030-01-07 11:00:00;325,46;0,0;15,8;265,84;43,82;0,0;0,0
2030-01-07 12:00:00;324,78;0,0;15,8;265,84;43,14;0,0;0,0
2030-01-07 13:00:00;322,81;0,0;15,8;265,84;41,16;0,0;0,0
2030-01-07 14:00:00;322,48;0,0;15,8;265,84;40,83;0,0;0,0
2030-01-07 15:00:00;322,25;0,0;15,8;265,84;40,61;0,0;0,0
2030-01-07 16:00:00;321,57;0,0;15,8;265,84;39,93;0,0;0,0
2030-01-07 17:00:00;321,57;0,0;15,8;265,84;39,93;0,0;0,0
2030-01-07 18:00:00;322,05;0,0;15,8;265,84;40,4;0,0;0,0
2030-01-07 19:00:00;322,42;0,0;15,8;265,84;40,78;0,0;0,0
2030-01-07 20:00:00;323,0;0,0;15,8;265,84;41,35;0,0;0,0
2030-01-07 21:00:00;323,45;0,0;15,8;265,84;41,81;0,0;0,0
2030-01-07 22:00:00;324,1;0,0;15,8;265,84;42,45;0,0;0,0
2030-01-07 23:00:00;324,61;0,0;15,8;265,84;42,96;0,0;0,0
2030-01-08 00:00:00;324,96;0,0;15,8;265,84;43,31;0,0;0,0
2030-01-08 01:00:00;325,29;0,0;15,8;265,84;43,65;0,0;0,0
2030-01-08 02:00:00;325,61;0,0;15,8;265,84;43,97;0,0;0,0
2030-01-08 03:00:00;325,93;0,0;15,8;265,84;44,28;0,0;0,0
2030-01-08 04:00:00;326,06;0,0;15,8;265,84;44,42;0,0;0,0
2030-01-08 05:00:00;326,17;0,0;15,8;265,84;44,53;0,0;0,0
2030-01-08 06:00:00;326,43;0,0;15,8;265,84;44,79;0,0;0,0
2030-01-08 07:00:00;326,8;0,0;15,8;265,84;45,16;0,0;0,0
2030-01-08 08:00:00;327,3;0,0;15,8;265,84;45,66;0,0;0,0
2030-01-08 09:00:00;327,7;0,0;15,8;265,84;46,06;0,0;0,0
2030-01-08 10:00:00;327,48;0,0;15,8;265,84;45,83;0,0;0,0
2030-01-08 11:00:00;326,06;0,0;15,8;265,84;44,42;0,0;0,0
2030-01-08 12:00:00;325,21;0,0;15,8;265,84;43,57;0,0;0,0
2030-01-08 13:00:00;320,65;0,0;15,8;265,84;39,01;0,0;0,0
2030-01-08 14:00:00;319,13;0,0;15,8;265,84;37,49;0,0;0,0
2030-01-08 15:00:00;319,12;0,0;15,8;265,84;37,48;0,0;0,0
2030-01-08 16:00:00;318,67;0,0;15,8;265,84;37,03;0,0;0,0
2030-01-08 17:00:00;318,19;0,0;15,8;265,84;36,55;0,0;0,0
2030-01-08 18:00:00;318,18;0,0;15,8;265,84;36,54;0,0;0,0
2030-01-08 19:00:00;318,22;0,0;15,8;265,84;36,58;0,0;0,0
2030-01-08 20:00:00;318,14;0,0;15,8;265,84;36,49;0,0;0,0
2030-01-08 21:00:00;318,24;0,0;15,8;265,84;36,59;0,0;0,0
2030-01-08 22:00:00;318,37;0,0;15,8;265,84;36,73;0,0;0,0
2030-01-08 23:00:00;318,37;0,0;15,8;265,84;36,72;0,0;0,0
