,"(('Biogaseinspeisung_Bestandsanlagen', 'Gas'), 'flow')","(('Biogaseinspeisung_Neuanlagen', 'Gas'), 'flow')","(('Erdgasspeicher', 'Gas'), 'flow')","(('Gas', 'Erdgasspeicher'), 'flow')","(('Gas', 'GuD'), 'flow')","(('Gas', 'Last_Gas_ges'), 'flow')","(('Gas', 'Materialbedarf_Gas'), 'flow')","(('Gas', 'excess_b_gas2'), 'flow')","(('Import_Gas', 'Gas'), 'flow')","(('Methanisierung', 'Gas'), 'flow')","(('Wasserstoffeinspeisung', 'Gas'), 'flow')"
2030-01-06 06:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2089,3423466220497","3,170979198376459","0,0","2667,8157909899473","0,0","0,0"
2030-01-06 07:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2194,4734143608703","3,170979198376459","0,0","2772,9468587287683","0,0","0,0"
2030-01-06 08:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2210,7713617827403","3,170979198376459","0,0","2789,2448061506384","0,0","0,0"
2030-01-06 09:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2168,3263864500022","3,170979198376459","0,0","2746,7998308179003","0,0","0,0"
2030-01-06 10:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2108,7264393533737","3,170979198376459","0,0","2687,1998837212714","0,0","0,0"
2030-01-06 11:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","2042,1781054126236","3,170979198376459","0,0","2620,6515497805217","0,0","0,0"
2030-01-06 12:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1994,9572011251018","3,170979198376459","0,0","2573,430645493","0,0","0,0"
2030-01-06 13:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1955,5824139649517","3,170979198376459","0,0","2534,0558583328498","0,0","0,0"
2030-01-06 14:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1945,0191150492183","3,170979198376459","0,0","2523,4925594171164","0,0","0,0"
2030-01-06 15:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1912,4843113371003","3,170979198376459","0,0","2490,9577557049984","0,0","0,0"
2030-01-06 16:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1922,769881917402","3,170979198376459","0,0","2501,2433262853","0,0","0,0"
2030-01-06 17:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1900,3925173380026","3,170979198376459","0,0","2478,8659617059006","0,0","0,0"
2030-01-06 18:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1858,7414000392307","3,170979198376459","0,0","2437,214844407129","0,0","0,0"
2030-01-06 19:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1764,705605539679","3,170979198376459","0,0","2343,179049907577","0,0","0,0"
2030-01-06 20:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1667,726019411471","3,170979198376459","0,0","2246,199463779369","0,0","0,0"
2030-01-06 21:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1543,9403411762305","3,170979198376459","0,0","2122,4137855441286","0,0","0,0"
2030-01-06 22:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1384,8484098231834","3,170979198376459","0,0","1963,3218541910815","0,0","0,0"
2030-01-06 23:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1211,1313222851772","3,170979198376459","0,0","1789,6047666530753","0,0","0,0"
2030-01-07 00:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","934,6580451257712","3,170979198376459","0,0","1513,1314894936693","0,0","0,0"
2030-01-07 01:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","962,9164891610747","3,170979198376459","0,0","1541,3899335289727","0,0","0,0"
2030-01-07 02:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","970,1224237792776","3,170979198376459","0,0","1548,5958681471757","0,0","0,0"
2030-01-07 03:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1018,2188581637984","3,170979198376459","0,0","1596,6923025316964","0,0","0,0"
2030-01-07 04:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1229,5018461919285","3,170979198376459","0,0","1807,9752905598266","0,0","0,0"
2030-01-07 05:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1584,0429201064749","3,170979198376459","0,0","2162,516364474373","0,0","0,0"
2030-01-07 06:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1782,1069824452015","3,170979198376459","0,0","2360,5804268130996","0,0","0,0"
2030-01-07 07:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1865,1190099104037","3,170979198376459","0,0","2443,592454278302","0,0","0,0"
2030-01-07 08:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1873,029110815599","3,170979198376459","0,0","2451,502555183497","0,0","0,0"
2030-01-07 09:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1792,7067006184468","3,170979198376459","0,0","2371,180144986345","0,0","0,0"
2030-01-07 10:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1727,0858465678994","3,170979198376459","0,0","2305,5592909357974","0,0","0,0"
2030-01-07 11:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1675,9107574753311","3,170979198376459","0,0","2254,384201843229","0,0","0,0"
2030-01-07 12:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1636,0659858638126","3,170979198376459","0,0","2214,539430231711","0,0","0,0"
2030-01-07 13:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1596,4894288769813","3,170979198376459","0,0","2174,962873244879","0,0","0,0"
2030-01-07 14:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1585,1395636254802","3,170979198376459","0,0","2163,6130079933782","0,0","0,0"
2030-01-07 15:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1554,6187954789034","3,170979198376459","0,0","2133,0922398468015","0,0","0,0"
2030-01-07 16:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1572,3955760388098","3,170979198376459","0,0","2150,869020406708","0,0","0,0"
2030-01-07 17:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1570,1003096940628","3,170979198376459","0,0","2148,573754061961","0,0","0,0"
2030-01-07 18:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1537,2238225995143","3,170979198376459","0,0","2115,6972669674124","0,0","0,0"
2030-01-07 19:00:00,"0,0","0,0","0,0","0,0","575,3024651695216","1501,6358024132774","3,170979198376459","0,0","2080,1092467811754","0,0","0,0"
