,"(('BioHolz', 'BioTransformer'), 'flow')","(('BioHolz', 'Biomasse_Strom'), 'flow')","(('BioHolz', 'Biomasse_Waerme'), 'flow')","(('Import_Holz', 'BioHolz'), 'flow')"
2030-01-08 05:00:00,"566,0599263181832","0,0","0,0","566,0599263181832"
2030-01-08 06:00:00,"619,4830037897636","0,0","0,0","619,4830037897636"
2030-01-08 07:00:00,"654,7287077506043","0,0","0,0","654,7287077506043"
2030-01-08 08:00:00,"668,5070227213047","0,0","0,0","668,5070227213047"
2030-01-08 09:00:00,"649,2418780308896","0,0","0,0","649,2418780308896"
2030-01-08 10:00:00,"612,8955757419832","0,0","0,0","612,8955757419832"
2030-01-08 11:00:00,"586,275370820926","0,0","0,0","586,275370820926"
2030-01-08 12:00:00,"562,0920947175993","0,0","0,0","562,0920947175993"
2030-01-08 13:00:00,"513,9301505726844","0,0","0,0","513,9301505726844"
2030-01-08 14:00:00,"487,4424597858808","0,0","0,0","487,4424597858808"
2030-01-08 15:00:00,"481,2469162809641","0,0","0,0","481,2469162809641"
2030-01-08 16:00:00,"487,8869701739675","0,0","0,0","487,8869701739675"
2030-01-08 17:00:00,"488,65139973950284","0,0","0,0","488,65139973950284"
2030-01-08 18:00:00,"488,87060651170907","0,0","0,0","488,87060651170907"
2030-01-08 19:00:00,"484,16641843354523","0,0","0,0","484,16641843354523"
2030-01-08 20:00:00,"475,6572732927035","0,0","0,0","475,6572732927035"
2030-01-08 21:00:00,"445,7985400262834","0,0","0,0","445,7985400262834"
2030-01-08 22:00:00,"384,08261966363284","0,0","0,0","384,08261966363284"
2030-01-08 23:00:00,"321,628489362702","0,0","0,0","321,628489362702"
2030-01-09 00:00:00,"415,6717032471744","0,0","0,0","415,6717032471744"
2030-01-09 01:00:00,"482,9286650048608","0,0","0,0","482,9286650048608"
2030-01-09 02:00:00,"475,7392251939417","0,0","0,0","475,7392251939417"
2030-01-09 03:00:00,"504,42103203343993","0,0","0,0","504,42103203343993"
2030-01-09 04:00:00,"630,8268697804693","0,0","0,0","630,8268697804693"
2030-01-09 05:00:00,"848,0383438078906","0,0","0,0","848,0383438078906"
2030-01-09 06:00:00,"746,4647941117488","0,0","0,0","746,4647941117488"
2030-01-09 07:00:00,"761,0331617087292","0,0","0,0","761,0331617087292"
2030-01-09 08:00:00,"714,6460493711205","0,0","0,0","714,6460493711205"
2030-01-09 09:00:00,"697,3914389404838","0,0","0,0","697,3914389404838"
2030-01-09 10:00:00,"644,2203841735478","0,0","0,0","644,2203841735478"
2030-01-09 11:00:00,"632,4773815003811","0,0","0,0","632,4773815003811"
2030-01-09 12:00:00,"628,1792404126404","0,0","0,0","628,1792404126404"
2030-01-09 13:00:00,"579,3019742526408","0,0","0,0","579,3019742526408"
2030-01-09 14:00:00,"574,2223631281969","0,0","0,0","574,2223631281969"
2030-01-09 15:00:00,"580,8280832396166","0,0","0,0","580,8280832396166"
2030-01-09 16:00:00,"606,7192078607692","0,0","0,0","606,7192078607692"
2030-01-09 17:00:00,"643,3599732354963","0,0","0,0","643,3599732354963"
2030-01-09 18:00:00,"683,254909638028","0,0","0,0","683,254909638028"
2030-01-09 19:00:00,"704,9443015669311","0,0","0,0","704,9443015669311"
2030-01-09 20:00:00,"727,3098282623749","0,0","0,0","727,3098282623749"
2030-01-09 21:00:00,"713,7118687581502","0,0","0,0","713,7118687581502"
2030-01-09 22:00:00,"629,2611934856631","0,0","0,0","629,2611934856631"
2030-01-09 23:00:00,"555,8901406255746","0,0","0,0","555,8901406255746"
2030-01-10 00:00:00,"934,2311270769877","0,0","0,0","934,2311270769877"
2030-01-10 01:00:00,"940,8368591989912","0,0","0,0","940,8368591989912"
2030-01-10 02:00:00,"954,3660551337625","0,0","0,0","954,3660551337625"
2030-01-10 03:00:00,"1005,3637390447785","0,0","0,0","1005,3637390447785"
2030-01-10 04:00:00,"1149,025238906058","0,0","0,0","1149,025238906058"
2030-01-10 05:00:00,"1517,0174181658003","0,0","0,0","1517,0174181658003"
